                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 3.1907,                 3.2239,                 3.8081,                0.00333,                0.41667,                0.02853,                0.00741,                 3.2522,                 3.8201,                 4.1006,             0.00024134,             0.00024134,             0.00024134
                     89,                 2.8837,                 3.0755,                  3.784,                0.00333,                0.41667,                0.02853,                0.00741,                 3.2522,                 3.8201,                 4.1006,             0.00022669,             0.00022669,             0.00022669
                     90,                 2.8951,                 3.2876,                 3.7787,                0.00333,                0.41667,                0.02853,                0.00741,                 3.2522,                 3.8201,                 4.1006,             0.00021164,             0.00021164,             0.00021164
                     91,                 2.9705,                 3.4795,                  3.764,                0.00333,                0.41667,                0.02853,                0.00741,                 3.2522,                 3.8201,                 4.1006,              0.0001962,              0.0001962,              0.0001962
                     92,                 2.6464,                 3.3417,                 3.7375,                0.00333,                0.41667,                0.02656,                0.00755,                 3.2113,                 3.8425,                  4.122,             0.00018036,             0.00018036,             0.00018036
                     93,                 2.8807,                 3.5449,                 3.7295,                0.00333,                0.41667,                0.02656,                0.00755,                 3.2113,                 3.8425,                  4.122,             0.00016413,             0.00016413,             0.00016413
                     94,                 2.6147,                 3.2838,                 3.6103,                0.00333,                0.41667,                0.02656,                0.00755,                 3.2113,                 3.8425,                  4.122,              0.0001475,              0.0001475,              0.0001475
                     95,                  2.697,                 3.4273,                 3.6806,                0.00333,                0.41667,                0.02656,                0.00755,                 3.2113,                 3.8425,                  4.122,             0.00013047,             0.00013047,             0.00013047
                     96,                 2.8353,                 3.5159,                 3.7629,                0.00333,                0.41667,                0.02918,                0.00784,                 3.2129,                 3.8036,                 4.0971,             0.00011305,             0.00011305,             0.00011305
                     97,                 3.0334,                 3.3703,                 3.7928,                0.00333,                0.41667,                0.02918,                0.00784,                 3.2129,                 3.8036,                 4.0971,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                 2.8377,                 3.5511,                  3.799,                0.00333,                0.41667,                0.02918,                0.00784,                 3.2129,                 3.8036,                 4.0971,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                 2.4987,                  3.285,                 3.6417,                0.00333,                0.41667,                0.02918,                0.00784,                 3.2129,                 3.8036,                 4.0971,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                 2.8794,                 3.3558,                 3.7352,                0.00333,                0.41667,                0.03032,                0.00811,                 3.2007,                 3.7878,                 4.0796,             3.9402e-05,             3.9402e-05,             3.9402e-05
